teamplaceCodigo,nombre,destino,skuAnterior,skuNuevo
"N040546","MÓDULO SUBTRONCAL MAGNAVOX PHILIPS",#TV-RF,#REV-TAN-0409,#TV-RF-0088
"N040186","NODO OPTICO 4 SALIDA - 862Mhz NACIONAL",#TV-HFC,#REV-TAN-0415,#TV-HFC-0001
"N040526","NODO OPTICO 4 SALIDA - 60V/AC (MUESTRA)",#TV-HFC,#REV-TAN-0414,#TV-HFC-0002
"N020521","MICRONODO OPTICO PR7332C",#TV-HFC,#REV-TAN-0383,#TV-HFC-0003
"N010688","MINI NODO OPTICO CON RETORNO",#TV-HFC,#REV-TAN-0388,#TV-HFC-0004
"N040549","NODO CON DESCRIPCION EN PARTIDA",#TV-HFC,#REV-TAN-0413,#TV-HFC-0005
"N0450415","CARCASA DE NODO CON DESCRIPCION EN PARTIDA",#TV-HFC,#REV-TAN-0129,#TV-HFC-0006
"N040548","MODULO CON DESCRIPCIÓN EN PARTIDA",#TV-HFC,#REV-TAN-0390,#TV-HFC-0007
"N010076","TRANSMISOR OPTICO 1550 10db NACIONAL",#TV-HFC,#REV-TAN-0577,#TV-HFC-0008
"I010076","TRANSMISOR OPTICO 1550 10db IMPORTADO",#TV-HFC,#REV-TAN-0576,#TV-HFC-0009
"N010694","TRANSMISOR CATV TUOLIMA",#TV-HFC,#REV-TAN-0575,#TV-HFC-0010
"N010429","MINI MODE DFB MN 870 MHZ 2 MW",#TV-HFC,#REV-TAN-0387,#TV-HFC-0011
"N010795","MULTIPLEXOR NDS3107C",#TV-MOD,#REV-TAN-0404,#TV-MOD-0121
"N060202","QAM ND530 16 IN 1",#TV-MOD,#REV-TAN-0509,#TV-MOD-0122
"N010168","DEMODULADOR TECSYS TS 5605 A - NACIONAL",#TV-RX,#REV-TAN-0203,#TV-RX-0019
"N010502","ARRIS DSR 4450",#TV-RX,#REV-TAN-0029,#TV-RX-0020
"N010513","IRD EXO",#TV-RX,#REV-TAN-0310,#TV-RX-0021
