teamplaceCodigo,nombre,destino,skuAnterior,skuNuevo
"N080961","PALLET ARLOG",#INS-CONS,#REV-TAN-0435,#INS-CONS-0033
"030147","DISPENSADOR DE ACOHOL ISIPROP.",#INS-CONS,#REV-TAN-0214,#INS-CONS-0034
"N030397","KIT DE LIMPIEZA P/CELULARES",#INS-CONS,#REV-TAN-0322,#INS-CONS-0035
"N081219","FUNDA BOLSO DE PROTECCION",#INS-CONS,#REV-TAN-0269,#INS-CONS-0036
"N080882","CAÑO ESTRUC. 15x15x1,6",#OBR-MET,#REV-TAN-0137,#OBR-MET-0001
"N080881","CAÑO ESTRUC. 100x20x1,6",#OBR-MET,#REV-TAN-0136,#OBR-MET-0002
"N080827","CAÑO ESTRUC. 100x100x1,6",#OBR-MET,#REV-TAN-0135,#OBR-MET-0003
"N080946","CAÑO ESTRUC. 2""x1,6mm",#OBR-MET,#REV-TAN-0138,#OBR-MET-0004
"N081132","CAÑO",#OBR-MET,#REV-TAN-0133,#OBR-MET-0005
"N080863","PLANCHUELA 1/2 X 3/16",#OBR-MET,#REV-TAN-0481,#OBR-MET-0006
"N080951","MOLDURA MADERA x3mts",#OBR-MET,#REV-TAN-0392,#OBR-MET-0007
"N080989","Conjunto de tablilla metalicas de 2300x1000mm",#OBR-MET,#REV-TAN-0191,#OBR-MET-0008
"N020522","MASTIL DE 2 MTS",#OBR-MET,#REV-TAN-0370,#OBR-MET-0009
"N020529","MASTIL DE 3 MTS",#OBR-MET,#REV-TAN-0371,#OBR-MET-0010
"N081046","PINTURA",#OBR-PIN,#REV-TAN-0463,#OBR-PIN-0001
"N080867","PINTURA SINTETICA VERDE JHON DHEERE",#OBR-PIN,#REV-TAN-0464,#OBR-PIN-0002
"N081074","AEROSOL PINTURA AZUL 440 CM.TERSUAVE",#OBR-PIN,#REV-TAN-0008,#OBR-PIN-0003
"N081075","AEROSOL PINTURA BLANCA 440 CM.TERSUAVE",#OBR-PIN,#REV-TAN-0009,#OBR-PIN-0004
"N080998","BARNIZ",#OBR-PIN,#REV-TAN-0036,#OBR-PIN-0005
"N030341","TINER / THINNER",#OBR-PIN,#REV-TAN-0559,#OBR-PIN-0006
"N081220","KEROSENE",#OBR-PIN,#REV-TAN-0318,#OBR-PIN-0007
"N030335","CONVERTIDOR DE OXIDO",#OBR-PIN,#REV-TAN-0172,#OBR-PIN-0008
"N081138","SELLADOR",#OBR-PIN,#REV-TAN-0533,#OBR-PIN-0009
"N080983","SELLAROSCA",#OBR-PIN,#REV-TAN-0534,#OBR-PIN-0010
"N081217","PEGAMENTO",#OBR-PIN,#REV-TAN-0446,#OBR-PIN-0011
"N030331","PINCEL CHICO",#OBR-PIN,#REV-TAN-0460,#OBR-PIN-0012
"N030332","PINCEL MEDIANO",#OBR-PIN,#REV-TAN-0462,#OBR-PIN-0013
"N081162","CEPILLO",#OBR-PIN,#REV-TAN-0141,#OBR-PIN-0014
"N081204","LIJA",#OBR-PIN,#REV-TAN-0347,#OBR-PIN-0015
"N080886","LIJA A AGUA 120 GR",#OBR-PIN,#REV-TAN-0348,#OBR-PIN-0016
"N020552","MANGUERA",#OBR-VAR,#REV-TAN-0358,#OBR-VAR-0001
"N080922","MANGUERA  ½""",#OBR-VAR,#REV-TAN-0359,#OBR-VAR-0002
"N080980","UNION 1/2""",#OBR-VAR,#REV-TAN-0585,#OBR-VAR-0003
"N081101","MEDIA SOMBRA",#OBR-VAR,#REV-TAN-0373,#OBR-VAR-0004
"N081211","TANZA",#OBR-VAR,#REV-TAN-0547,#OBR-VAR-0005
"N081057","MEMBRANA IMPERMEABLE",#OBR-VAR,#REV-TAN-0374,#OBR-VAR-0006
"N080823","BRAZO HIDRAULICO P/PUERTA",#OBR-VAR,#REV-TAN-0059,#OBR-VAR-0007
"N081178","NEUMATICO - CUBIERTAS",#VEH-REP,#REV-TAN-0412,#VEH-REP-0001
"N081047","KIT AUXILIO P/AUTOMOVIL",#VEH-REP,#REV-TAN-0321,#VEH-REP-0002
"N080846","FOLIO A4",#OFI-PAP,#REV-TAN-0264,#OFI-PAP-0001
"N080845","FOLIO OFICIO",#OFI-PAP,#REV-TAN-0265,#OFI-PAP-0002
"N080847","SOBRE OFICIO INGLES",#OFI-PAP,#REV-TAN-0540,#OFI-PAP-0003
"N081102","SOBRE",#OFI-PAP,#REV-TAN-0539,#OFI-PAP-0004
"N080988","RESMAS",#OFI-PAP,#REV-TAN-0522,#OFI-PAP-0005
"N081126","ROLLO PAPEL P/FAX",#OFI-PAP,#REV-TAN-0527,#OFI-PAP-0006
"N050107","LAPICERAS",#OFI-PAP,#REV-TAN-0336,#OFI-PAP-0007
"N080848","LAPIZ NEGRO",#OFI-PAP,#REV-TAN-0337,#OFI-PAP-0008
"N081104","MINA LAPIZ",#OFI-PAP,#REV-TAN-0384,#OFI-PAP-0009
"N081183","SACAPUNTAS",#OFI-PAP,#REV-TAN-0532,#OFI-PAP-0010
"N081182","GOMA P/BORRAR",#OFI-PAP,#REV-TAN-0282,#OFI-PAP-0011
"N080809","CORRECTOR LIQUIDO",#OFI-PAP,#REV-TAN-0175,#OFI-PAP-0012
"N081107","REGLA",#OFI-PAP,#REV-TAN-0514,#OFI-PAP-0013
"N080808","POST IT",#OFI-PAP,#REV-TAN-0490,#OFI-PAP-0014
"N080840","CUADERNO CHICO",#OFI-PAP,#REV-TAN-0177,#OFI-PAP-0015
"N080839","CUADERNO GRANDE",#OFI-PAP,#REV-TAN-0178,#OFI-PAP-0016
"N081105","CARPETA",#OFI-PAP,#REV-TAN-0131,#OFI-PAP-0017
"N080985","BIBLIORATO",#OFI-PAP,#REV-TAN-0038,#OFI-PAP-0018
"N080859","CAJA ARCHIVO OFICIO/LEGAL",#OFI-PAP,#REV-TAN-0109,#OFI-PAP-0019
"N081095","BROCHES",#OFI-PAP,#REV-TAN-0061,#OFI-PAP-0020
"N080850","BROCHES 10/50",#OFI-PAP,#REV-TAN-0062,#OFI-PAP-0021
"N081092","CLIP",#OFI-PAP,#REV-TAN-0150,#OFI-PAP-0022
"N050105","ABROCHADORA",#OFI-PAP,#REV-TAN-0001,#OFI-PAP-0023
"N080810","PERFORADOR MEDIANO",#OFI-PAP,#REV-TAN-0452,#OFI-PAP-0024
"N080963","TIJERA",#OFI-PAP,#REV-TAN-0556,#OFI-PAP-0025
"N080849","GOMILLAS",#OFI-PAP,#REV-TAN-0283,#OFI-PAP-0026
"N081114","PEGAMENTO EN BARRA",#OFI-PAP,#REV-TAN-0447,#OFI-PAP-0027
"N080841","MARCADOR RESALTADOR",#OFI-PAP,#REV-TAN-0367,#OFI-PAP-0028
"N080842","MARCADOR AL AGUA",#OFI-PAP,#REV-TAN-0364,#OFI-PAP-0029
"N080843","MARCADOR INDELEBLE",#OFI-PAP,#REV-TAN-0365,#OFI-PAP-0030
"N080844","MARCADOR PARA PIZZARRA",#OFI-PAP,#REV-TAN-0366,#OFI-PAP-0031
"N030102","MARCADOR AL ACEITE PUNTA REDONDA COLOR BLANCO",#OFI-PAP,#REV-TAN-0362,#OFI-PAP-0032
"N030101","MARCADOR AL ACEITE PUNTA REDONDA COLOR NEGRO",#OFI-PAP,#REV-TAN-0363,#OFI-PAP-0033
"N080964","BORRADOR PIZZARRA VIDRIO",#OFI-PAP,#REV-TAN-0052,#OFI-PAP-0034
"N081115","TINTA P/SELLOS",#OFI-PAP,#REV-TAN-0565,#OFI-PAP-0035
"N081109","CARBONICO",#OFI-PAP,#REV-TAN-0128,#OFI-PAP-0036
"N080984","RECIBOS USARES 1825 CARBONICO QUIMICO",#OFI-PAP,#REV-TAN-0512,#OFI-PAP-0037
"N030099","LETROGRAFO PLASTICO X 30 MM",#OFI-PAP,#REV-TAN-0345,#OFI-PAP-0038
"090201","Sillas",#OFI-MOB,#REV-TAN-0544,#OFI-MOB-0001
"N090108","Sillas de oficina",#OFI-MOB,#REV-TAN-0545,#OFI-MOB-0002
"090306","SILLA DE ESCRITORIO ROYAL DESIGN",#OFI-MOB,#REV-TAN-0535,#OFI-MOB-0003
"N090101","ESCRITORIO 1,4-1,5 MTS",#OFI-MOB,#REV-TAN-0233,#OFI-MOB-0004
"N090100","ESCRITORIO 1 MTS",#OFI-MOB,#REV-TAN-0232,#OFI-MOB-0005
"N090103","ESCRITORIO EN L 120 x 120",#OFI-MOB,#REV-TAN-0234,#OFI-MOB-0006
"N020400","mesa en L con cajones 150 x 150",#OFI-MOB,#REV-TAN-0603,#OFI-MOB-0007
"N060223","TELEFONO FIJO",#OFI-EQU,#REV-TAN-0551,#OFI-EQU-0001
"N080903","HORNO MICROONDAS",#OFI-EQU,#REV-TAN-0299,#OFI-EQU-0002
"N080987","TV LED",#OFI-EQU,#REV-TAN-0581,#OFI-EQU-0003
"N062242","TV 32""",#OFI-EQU,#REV-TAN-0580,#OFI-EQU-0004
"N010682","DVD NOBLEX DVH1700",#OFI-EQU,#REV-TAN-0218,#OFI-EQU-0005
"N010775","REPRODUCTO DVD - USB",#OFI-EQU,#REV-TAN-0519,#OFI-EQU-0006
"N081165","CONTADORA DE BILLETES",#OFI-EQU,#REV-TAN-0160,#OFI-EQU-0007
"N090106","maquina de contar",#OFI-EQU,#REV-TAN-0602,#OFI-EQU-0008
"N081096","ARTICULO C/DESCRIPCION EN PARTIDA",#REV-PLA,#REV-TAN-0030,#REV-PLA-0001
