# REGENERADO desde rev-clasificacion.csv (recuperación post-pérdida de DB).
# IDs (Producto.id) de #REV clasificados como INTANGIBLE. El resto de #REV -> TANGIBLE.
# Formato: <id>   # NOMBRE
cmsg5983m00p067qsj7o8i088   # MITIGACION 952098 CATAM-PERU
cmsg5983m00p167qsg1qbms1d   # MITIGACION 952102 P.GARCIA 175
cmsg598by00u267qs3bisknoo   # Muebles y Utiles
cmsg598m701au67qs0kfbvj7g   # OSDE FLIA OLARTE
cmsg5990a01nj67qst639266v   # OTROS COSTOS OPERATIVOS
cmsg598c5014y67qs509sq61k   # PAQUETE CODIFICADO FUTBOL
cmsg5995m023l67qstqoettcv   # PARTICIPACION BORDERAUX SHOW FUTTURA, HIPODROMO DE TUCUMAN
cmsg5990901mr67qsl2fme7ey   # PERSONAL 3ROS
cmsg5990a01nb67qsmdik6miz   # PLATAFORMA CCC GO
cmsg598m801cx67qshjxvhwim   # PORTAL CAUTIVO
cmsg5990901ly67qszez84c55   # PRESTAMOS AL PERSONAL
cmsg5983k00gm67qs90pkt66n   # PROGRAMACIÓN MENSUAL
cmsg5983k00gk67qs9af4cpn2   # PROGRAMACIÓN SEÑALES BASICAS
cmsg597rt00bw67qs6vu3wz14   # PUBLICIDAD
cmsg598by00ta67qso3kjcr0f   # Pago por subrogación
cmsg598bz00vn67qs69jp0h11   # Parque Autoctono
cmsg597rt00bl67qso8x23lq2   # Plataforma gestión de video
cmsg598by00tr67qsuu6bupi8   # Poder General
cmsg5983n00rx67qsxpwr2ka5   # Puesto de Trabajo - Centro de Monitoreo
cmsg598m801cu67qstzlzr6z0   # R-SW-AOS-PRO PRD
cmsg598m701as67qsy8w3nugx   # RECARGO BILLETES BAJA NOMINACION
cmsg5990c01vt67qsldqgi76v   # RECARGO POR MORA
cmsg5995m023h67qsur8ky8rr   # RENDIMIENTO ACCIONES CON COTIZACION
cmsg5983n00s467qskare5s84   # Recaudación
cmsg5983n00r767qskh3e6v17   # Refrigerios Administración IVA10.5%
cmsg598m801cv67qse574kh3d   # Reinstatement Fees
cmsg5983n00qv67qsyxl2qxel   # Reparación de piel de vidrio
cmsg5983n00s667qsuu0nrzie   # SALDO INICIAL PROVIDERS TANGO
cmsg5983n00rm67qsn507a9c8   # SALDO INICIAL TANGO
cmsg5983m00qd67qs0p29ujrg   # SALDO TECNICO A FAVOR DE AFIP
cmsg598c5015i67qsex7g0mza   # SCA- Servicios de Comunicacion Audiovisual
cmsg598m701ar67qslvn493c3   # SEGURIDAD PRIVADA
cmsg5990a01n567qs22dwo5q3   # SERV DE DISTRIBUCION DE FC Y REVISTAS
cmsg597ru00dx67qs0tjn6ki9   # SERVICIO
cmsg598c5014z67qs2nfgj6p7   # SERVICIO DE CABLE
cmsg597rt00bp67qsle6wwuce   # SERVICIO MENSUAL
cmsg5983k00gj67qsx1vwtg96   # SEÑALES DEPORTIVAS
cmsg5983k00gl67qsui44lc2n   # SEÑALES PREMIUM
cmsg598by00uf67qslthyu37i   # SICORE-GANANCIAS
cmsg598bz00vq67qshd8v9hzm   # SISTEMA CAPACITACIONES Y CONSULTAS
cmsg598m801du67qsrcd30xrz   # SOFTWARE Y LICENCIAS 21%
cmsg598bz00v167qsbiy6eaa2   # Sello Bancario
cmsg5995l01zv67qspyp150r0   # Servicio Mensual Stick
cmsg597rp001h67qsunse4zy2   # Servicio de Cable
cmsg5983n00rt67qslskc7i1n   # Servicio de Gerenciamiento, Asesoria legal y contable
cmsg598bz00w467qs0rza8r6u   # Servicios Tecnicos de Terceros
cmsg598c200zg67qsmjdffsdm   # Sindicato
cmsg5983n00s567qs7667050l   # Solicitud de Fondos
cmsg5990901kr67qsgzysh5x3   # TASA MUNICIPAL TENDIDO RED TV
cmsg598c3011f67qsclq74osa   # TRABAJO DE REFACCION Y REACONDICIONAMIENTO
cmsg5983n00r267qs7q5mkqiu   # TRANSITO IP
cmsg598by00u067qs6tdvotfp   # Tasa F.1924
cmsg5990901ks67qswunzemhe   # Tasa por Inspección Seguridad Salubridad e Higiene
cmsg598by00u167qszyjklqbp   # Tasas Municipales (Legales)
cmsg598by00tz67qsmu0s0r8o   # Transferencia Automotor
cmsg598c000xf67qs37mfeilt   # VENTA BIEN DE USO
cmsg598m6017z67qsui2rsm1y   # VIRTUALIZACION
cmsg5983n00r367qsyaawol8e   # VPN/ L2L
cmsg598c000x367qs33f4rtmz   # Venta Bienes de Uso
cmsg598m801cy67qsolaf8n28   # cargo por asesoramiento tecnico
cmsg5995k01z467qs6u6vhjyr   # expensas JC
cmsg598c4013l67qsjgi8xld1   # mercaderia a recibir
cmsg598c4013m67qscvds8h1l   # mercaderia a recibir 10.5
